"category_id"	"text"	"parent_id"	"image"	"link"	"sort"
"1"	"商品列表"	"0"	""	""	"10"
"2"	"另类软件列表"	""	""	""	"10"
"3"	"安卓营销软件"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/3ffaaf2a-1870-45d0-a546-4b8dff8ff94d.png"	""	"1"
"4"	"苹果营销软件"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/ccc0fc86-fa78-4c6c-9675-1ff02f16abed.png"	""	"2"
"5"	"云端产品系列"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/a9abd215-604c-4a71-b983-4b38606f4640.png"	""	"4"
"6"	"云端爆粉系列"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/8366a623-dbac-475c-a800-86f8b76288d9.png"	""	"3"
"7"	"引流爆粉神器"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/9f012640-63cc-4c4e-8526-ce7bb3cd8e84.png"	""	"5"
"8"	"云端清理系列"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/94f3ce5f-e49b-404c-a192-299612810a19.png"	""	"6"
"9"	"电脑营销爆粉"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/b637315f-99e0-441c-8763-243becc10e85.png"	""	"7"
"10"	"云端红包系列"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/dd499cdf-894f-48b8-8380-dc812cb6654d.png"	""	"8"
"11"	"微商作图软件"	"1"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/05d493c5-5de1-400e-bddc-0338180d0ac2.png"	""	"9"
"12"	"QQ业务系列"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/00c87d6e-728a-4177-822a-5db032a56719.png"	""	"11"
"13"	"快手业务系列"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/5d32d84d-575e-423b-a3a0-27400e4fffba.png"	""	"12"
"14"	"抖音业务系列"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/ba8a144c-308e-4395-acda-b5efbe32dbe7.png"	""	"13"
"15"	"软件定制"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/cba50ff1-3159-40bd-b089-01271c8b0aae.png"	""	"14"
"16"	"其他软件"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/3d966402-0926-4861-bc09-1f96e8632646.png"	""	"15"
"17"	"加盟合作"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/790f6256-5e22-4911-87e1-d8652c7d4692.png"	""	"16"
"20"	"测试子类目"	"2"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/8ee9eb29-0547-41e4-ba32-6ddd72cde75b.png"	""	"10"
