"recharge_id"	"user_id"	"amount"	"state"	"remark"	"system_record_id"	"channel_record_id"	"add_time"	"update_time"
"1"	"3"	"10000.00"	"1"	""	"554770791858704385"	"123123123123123"	"2018/9/5 12:35:46"	"2018/9/5 12:35:59"
"2"	"2"	"100.00"	"1"	""	"554771808839012353"	"133112312312313"	"2018/9/5 12:39:26"	"2018/9/5 12:40:01"
"3"	"2"	"100000.00"	"1"	""	"554772417273139201"	"12312312312312"	"2018/9/5 12:42:19"	"2018/9/5 12:42:26"
"4"	"4"	"100.00"	"1"	""	"554807098249056257"	"65655656568999"	"2018/9/5 14:59:54"	"2018/9/5 15:00:15"
"5"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:32:27"	"2018/9/5 17:01:08"
"6"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:36:20"	"2018/9/5 17:01:05"
"7"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:37:59"	"2018/9/5 17:01:03"
"8"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:38:03"	"2018/9/5 17:01:01"
"9"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:38:03"	"2018/9/5 17:00:59"
"10"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:38:04"	"2018/9/5 17:00:57"
"11"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:38:04"	"2018/9/5 17:00:54"
"12"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:38:39"	"2018/9/5 17:00:52"
"13"	"8"	"100.00"	"1"	""	"554832425721532417"	"13123"	"2018/9/5 16:39:57"	"2018/9/5 16:40:53"
"14"	"8"	"100.00"	"2"	""	"0"	""	"2018/9/5 16:40:31"	"2018/9/5 17:00:50"
"15"	"14"	"100.00"	"1"	""	"554851215125516289"	"12365"	"2018/9/5 17:55:11"	"2018/9/5 17:55:33"
"16"	"16"	"150.00"	"2"	""	"0"	""	"2018/9/5 21:11:27"	"2018/9/5 21:18:30"
"17"	"16"	"150.00"	"1"	""	"554902274111967233"	"123456"	"2018/9/5 21:11:31"	"2018/9/5 21:18:27"
"18"	"23"	"100.00"	"2"	""	"0"	""	"2018/9/6 12:07:08"	"2018/9/6 12:20:59"
"19"	"23"	"100.00"	"1"	""	"555127539253645313"	"695592"	"2018/9/6 12:08:10"	"2018/9/6 12:13:34"
"20"	"24"	"1.00"	"2"	""	"0"	""	"2018/9/6 12:12:24"	"2018/9/6 12:21:08"
"21"	"28"	"100.00"	"1"	""	"555154041080909825"	"2222"	"2018/9/6 13:58:18"	"2018/9/6 13:58:53"
"22"	"41"	"100.00"	"1"	""	"555197160845479937"	"55555"	"2018/9/6 16:50:05"	"2018/9/6 16:50:13"
"23"	"23"	"37.00"	"2"	""	"0"	""	"2018/9/7 01:01:04"	"2018/9/7 09:39:29"
"24"	"3"	"500.00"	"2"	""	"0"	""	"2018/9/7 11:05:00"	"2018/9/7 11:36:04"
"25"	"48"	"100.00"	"2"	""	"0"	""	"2018/9/7 11:49:40"	"2018/9/7 11:50:12"
"26"	"48"	"1000.00"	"1"	""	"555484005412114433"	"5233"	"2018/9/7 11:49:45"	"2018/9/7 11:50:02"
"27"	"53"	"100.00"	"2"	""	"0"	""	"2018/9/7 23:00:08"	"2018/9/7 23:06:47"
"28"	"53"	"100.00"	"2"	""	"0"	""	"2018/9/7 23:00:11"	"2018/9/7 23:06:42"
"29"	"53"	"100.00"	"2"	""	"0"	""	"2018/9/7 23:00:21"	"2018/9/7 23:06:38"
"30"	"53"	"100.00"	"2"	""	"0"	""	"2018/9/7 23:00:24"	"2018/9/7 23:06:34"
"31"	"53"	"100.00"	"1"	""	"555654240547115009"	"123"	"2018/9/7 23:00:31"	"2018/9/7 23:06:29"
"32"	"57"	"2.00"	"0"	""	"0"	""	"2018/9/8 15:38:19"	""
"33"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 12:48:34"	""
"34"	"17"	"100.00"	"0"	""	"0"	""	"2018/9/11 13:46:24"	""
