"wallet_id"	"user_id"	"balance"	"update_time"	"version"
"1"	"1"	"9899844.47"	"2019/3/17 21:21:02"	"387"
"2"	"620928814838452224"	"80047.44"	"2019/3/16 18:31:10"	"56"
"3"	"620928814838452225"	"306.00"	"2019/3/8 11:50:35"	"53"
"4"	"621438751167483904"	"98.50"	"2019/3/12 14:31:48"	"11"
"5"	"5"	"5.00"	"2018/9/5 16:10:13"	"1"
"6"	"6"	"5.00"	"2018/9/5 16:19:49"	"1"
"7"	"7"	"5.00"	"2018/9/5 16:27:03"	"1"
"8"	"8"	"105.00"	"2018/9/5 16:40:53"	"2"
"9"	"9"	"2.00"	"2018/9/6 20:39:31"	"14"
"10"	"10"	"5.00"	"2018/9/5 16:47:24"	"1"
"11"	"11"	"5.00"	"2018/9/5 16:51:44"	"1"
"12"	"12"	"5.00"	"2018/9/5 16:53:52"	"1"
"13"	"13"	"5.00"	"2018/9/5 17:36:27"	"1"
"14"	"14"	"5983.20"	"2018/9/21 21:09:06"	"32"
"15"	"15"	"5.00"	"2018/9/5 20:25:59"	"1"
"16"	"16"	"0.00"	"2018/9/6 10:06:13"	"5"
"17"	"17"	"5.00"	"2018/9/5 21:07:06"	"1"
"18"	"18"	"5.00"	"2018/9/5 23:20:38"	"1"
"19"	"19"	"5.00"	"2018/9/6 09:16:05"	"1"
"20"	"20"	"5.00"	"2018/9/6 10:16:48"	"1"
"21"	"21"	"5.00"	"2018/9/6 10:20:09"	"1"
"22"	"22"	"5.00"	"2018/9/6 11:08:36"	"1"
"23"	"23"	"0.60"	"2018/9/7 00:34:32"	"26"
"24"	"24"	"5.00"	"2018/9/6 11:12:35"	"1"
"25"	"25"	"984.00"	"2018/9/7 12:41:39"	"6"
"26"	"26"	"4.90"	"2018/9/8 15:54:45"	"2"
"27"	"27"	"5.00"	"2018/9/6 12:31:46"	"1"
"28"	"28"	"5.00"	"2018/9/6 19:52:55"	"5"
"29"	"29"	"5.00"	"2018/9/6 14:18:41"	"1"
"30"	"30"	"5.00"	"2018/9/6 14:48:48"	"1"
"31"	"31"	"5.00"	"2018/9/6 15:29:08"	"1"
"32"	"32"	"5.00"	"2018/9/6 15:33:00"	"1"
"33"	"40"	"5.00"	"2018/9/6 15:57:40"	"1"
"34"	"41"	"5.00"	"2018/9/6 16:50:45"	"3"
"35"	"42"	"5.00"	"2018/9/6 17:07:06"	"1"
"36"	"43"	"5.00"	"2018/9/6 19:29:19"	"1"
"37"	"44"	"5.00"	"2018/9/6 21:28:18"	"1"
"38"	"47"	"5.00"	"2018/9/6 22:12:55"	"1"
"39"	"48"	"1017.00"	"2018/9/7 12:41:39"	"4"
"40"	"49"	"5.00"	"2018/9/7 11:50:35"	"1"
"41"	"50"	"5.00"	"2018/9/7 11:55:48"	"1"
"42"	"52"	"5.00"	"2018/9/7 14:44:43"	"1"
"43"	"53"	"5.00"	"2018/9/7 23:42:55"	"3"
"44"	"54"	"5.00"	"2018/9/7 16:59:54"	"1"
"45"	"55"	"5.00"	"2018/9/7 20:40:25"	"1"
"46"	"56"	"1.00"	"2018/9/8 01:56:04"	"1"
"47"	"57"	"0.90"	"2018/9/8 15:54:45"	"2"
"48"	"58"	"1.00"	"2018/9/8 11:15:02"	"1"
"49"	"59"	"9029.90"	"2018/9/22 11:49:20"	"11"
"50"	"60"	"1.00"	"2018/9/8 12:54:05"	"1"
"51"	"66"	"1.00"	"2018/9/8 22:34:55"	"1"
"52"	"67"	"1.00"	"2018/9/9 13:13:12"	"1"
"53"	"68"	"1.00"	"2018/9/9 16:08:15"	"1"
"54"	"69"	"1.00"	"2018/9/9 18:06:45"	"1"
"55"	"70"	"1.00"	"2018/9/10 15:12:33"	"1"
"56"	"71"	"1.00"	"2018/9/11 20:44:01"	"1"
"57"	"72"	"1.00"	"2018/9/12 07:58:27"	"1"
"58"	"73"	"1.00"	"2018/9/12 15:03:25"	"1"
"59"	"74"	"1.00"	"2018/9/12 15:34:54"	"1"
"60"	"75"	"1.00"	"2018/9/13 13:45:02"	"1"
"61"	"76"	"1.00"	"2018/9/17 17:46:35"	"1"
"62"	"77"	"1.00"	"2018/9/17 23:33:28"	"1"
"63"	"79"	"1.00"	"2018/9/20 02:28:46"	"1"
"64"	"80"	"1.00"	"2018/9/21 17:06:23"	"1"
"65"	"81"	"1.00"	"2018/9/21 21:11:31"	"1"
"66"	"82"	"1.00"	"2018/9/21 21:55:26"	"1"
"67"	"83"	"1032.50"	"2018/10/15 23:05:42"	"25"
"68"	"84"	"983.00"	"2018/10/12 15:18:29"	"6"
"69"	"85"	"1.00"	"2018/10/12 21:50:32"	"1"
"70"	"88"	"1.00"	"2018/10/12 21:53:09"	"1"
"71"	"89"	"1001.00"	"2018/10/18 20:59:52"	"2"
"72"	"90"	"1001.00"	"2018/10/18 20:59:49"	"2"
"73"	"293"	"103.00"	"2018/10/21 15:02:45"	"4"
"74"	"140"	"3.00"	"2018/10/23 21:05:51"	"1"
"75"	"141"	"22.00"	"2018/10/24 01:07:10"	"4"
"76"	"142"	"3.00"	"2018/10/23 22:53:28"	"1"
"77"	"143"	"3.00"	"2018/11/11 12:53:14"	"1"
"99"	"622980046595821568"	"0.00"	"2019/3/12 17:55:17"	"0"
"101"	"623115001674076160"	"0.50"	"2019/3/14 01:37:15"	"5"
"102"	"623363549116239872"	"0.00"	"2019/3/13 19:19:07"	"0"
"103"	"623461188964978688"	"0.00"	"2019/3/14 01:47:06"	"0"
"104"	"623772509568765952"	"594.00"	"2019/3/16 14:05:58"	"5"
"105"	"623807710940368896"	"0.00"	"2019/3/15 00:44:03"	"0"
"106"	"624309869926682624"	"0.00"	"2019/3/16 09:59:27"	"0"
"107"	"624842506755903488"	"1000.00"	"2019/3/17 21:15:58"	"0"
